Symbol,Issue_Name,Primary_Listing_Mkt
MTC,"MMTec, Inc. Common Shares",NASDAQ
MTCH,"Match Group, Inc. Common Stock",NASDAQ
MTCN,ArcelorMittal 5.50% Mandatorily Convertible Subordinated Notes due 2023,NYSE
MTCPY,MTR Corporation Ltd ADR - Unsponsored (Hong Kong),U
MTCR,"Metacrine, Inc. Common Stock",NASDAQ
MTD,Mettler-Toledo International,NYSE
MTDR,MATADOR RESOURCES COMPANY,NYSE
MTEHF,Maxtech Ventures Inc Ordinary Shares (Canada),U
MTEI,Mountain Energy Inc Common Stock,U
MTELF,MOTA-ENGIL SGPS SA LINDA-A-VELHA SHS (Portugal),U
MTEM,"Molecular Templates, Inc. Common Stock",NASDAQ
MTENY,Mahanagar Telephone Nigam Ltd ADS,U
MTERF,Minterra Resource Corporation Ordinary Shares (Canada),U
MTEX,"Mannatech, Incorporated Common Stock",NASDAQ
MTFBF,MOTIF BIO PLC  Ordinary Shares (United Kingdom),U
MTFC,Minster Financial Corporation,U
MTFGF,U K SPAC PLC Ordinary Shares,U
MTG,MGIC Investment Corp.,NYSE
MTGCF,Mapletree North China Commercial Trust Units REIT (Singapore),U
MTGGY,Metro AG American Depositary Receipts - Unsponsored (Germany),U
MTGOF,MUSTI GROUP OYJ Ordinary Shares,U
MTGP,WisdomTree Mortgage Plus Bond Fund,ARCA
MTGRF,Mount Gibson Iron Ltd Ordinary Shares (Australia),U
MTGRY,Mount Gibson Iron Ltd Unsponsored ADR (Austrailia),U
MTH,Meritage Homes Corporation,NYSE
MTHGF,Meigu Technology Holdings Group Ltd Ordinary Shares (Cayman Islands),U
MTHRF,"M3, Inc. Ordinary Shares (Japan)",U
MTHRY,"M3, INC.  American Depositary Receipts - Unsponsored  Japan(JP )",U
MTIRF,MITHRIL RESOURCES LTD SHS (Australia),U
MTL,"Mechel PAO American Depository Shares, each representing two ordinary shares (ADSs)",NYSE
MTL PR,Mechel PAO American Depositary Shares (each representing one-half of a Preferred Share),NYSE
MTLCF,Metalcorp Ltd Ordinary Shares (Canada),U
MTLFF,"Metallis Resources, Inc. Ordinary Shares (Canada)",U
MTLHF,Mitsubishi Chemical Holdings Corp Ordinary Shares (Japan),U
MTLHY,Mitsubishi Chemical Holdings Corp Unsponsored ADR (Japan),U
MTLI,Metaline Contact Mines Common Stock,U
MTLK,"Metalink, Ltd. Ordinary Shares",U
MTLRF,Metalore Resources Ltd Ordinary Shares,U
MTLS,Materialise NV American Depositary Shares,NASDAQ
MTLZF,Metall Zug AG Ordinary Shares (Switzerland),U
MTMW,"Matmown, Inc. Common",U
MTN,"Vail Resorts, Inc.",NYSE
MTNB,"Matinas BioPharma Holdings, Inc.",AMEX
MTNOF,"MTN Group, Ltd. Ordinary Shares (South Africa)",U
MTNOY,"MTN Group, Ltd. Sponsored American Depositary Receipt",U
MTNX,"MeltroniX, Inc. Common Stock",U
MTOMF,"First Growth Funds, Ltd Ordinary Shares",U
MTOR,"MERITOR, Inc.",NYSE
MTP,Midatech Pharma PLC American Depositary Shs,NASDAQ
MTPGF,Metro Performance Glass Ltd. Shares (New Zealand),U
